,Forearms,Biceps,Triceps,Deltoids,Front/Anterior Delt,Rear/Posterior Delt,Side/Lateral Delt,Neck,Traps,Upper Traps,Mid Traps,Lower Traps,Upper Back,Middle Back,Lower Back,Lats,Pectorals,Obliques,Abs,Glutes,Adductors,Abductors,Quads,Hamstrings,Shins,Calves
Back Squat (high-bar),0,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,3,3,4,0,0,5,3,2,2
Back Squat (low-bar),0,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,3,3,4,0,0,5,3,2,2
Front Squat,0,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,3,3,4,0,0,5,3,2,2
Box Squat,0,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,3,3,4,0,0,5,3,2,2
Pause Squat,0,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,3,3,4,0,0,5,3,2,2
Overhead Squat,0,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,3,3,4,0,0,5,3,2,2
Zercher Squat,0,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,3,3,4,0,0,5,3,2,2
Goblet Squat,0,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,3,3,4,0,0,5,3,2,2
Safety Bar Squat,0,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,3,3,4,0,0,5,3,2,2
Hack Squat,0,0,0,0,0,0,0,0,2,2,1,1,0,0,4,0,0,3,3,4,0,0,5,3,2,2
Conventional Deadlift,4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Sumo Deadlift,4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Romanian Deadlift,4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Stiff-Leg Deadlift,4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Deficit Deadlift,4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Block/Pin Pull Deadlift,4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Rack Pull,4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Trap-Bar Deadlift (high-handle),4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Trap-Bar Deadlift (low-handle),4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Single-Leg Romanian Deadlift,4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Good Morning (barbell),4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Glute-Ham Raise,4,0,0,0,0,0,0,0,4,4,3,2,4,4,5,0,0,0,3,5,0,0,3,5,0,2
Walking Lunge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,3,3,2
Reverse Lunge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,3,3,2
Forward Lunge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,3,3,2
Bulgarian Split Squat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,3,3,2
Rear-Foot-Elevated Split Squat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,3,3,2
"Step-Up (high box, loaded)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,3,3,2
Single-Leg Squat / Pistol Squat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,5,3,3,2
Barbell Hip Thrust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,3,0,0,3,0,0
Barbell Glute Bridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,3,0,0,3,0,0
Single-Leg Hip Thrust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,3,0,0,3,0,0
Flat Barbell Bench Press,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Flat Dumbbell Bench Press,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Incline Barbell Bench Press,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Incline Dumbbell Bench Press,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Decline Bench Press,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Close-Grip Bench Press,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Floor Press,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Board Press / Pin Press,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Spoto Press,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Weighted Push-Up,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Parallel Bar Dips (chest-focused),0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Parallel Bar Dips (tricep-focused),0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Ring Dips,0,0,4,3,4,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
Standing Barbell Overhead Press,0,0,4,5,5,0,3,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Standing Dumbbell Overhead Press,0,0,4,5,5,0,3,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Seated Barbell Overhead Press,0,0,4,5,5,0,3,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Seated Dumbbell Overhead Press,0,0,4,5,5,0,3,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Push Press,0,0,4,5,5,0,3,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Push Jerk,0,0,4,5,5,0,3,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Split Jerk,0,0,4,5,5,0,3,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Handstand Push-Up,0,0,4,5,5,0,3,0,0,3,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
