,Forearms,Biceps,Triceps,Deltoids,Front/Anterior Delt,Rear/Posterior Delt,Side/Lateral Delt,Neck,Traps,Upper Traps,Mid Traps,Lower Traps,Upper Back,Middle Back,Lower Back,Lats,Pectorals,Obliques,Abs,Glutes,Adductors,Abductors,Quads,Hamstrings,Shins,Calves
Back Squat (high-bar),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.55,0.55,0.75,0.0,0.0,1.0,0.55,0.35,0.35
Back Squat (low-bar),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.55,0.55,0.75,0.0,0.0,1.0,0.55,0.35,0.35
Front Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.55,0.55,0.75,0.0,0.0,1.0,0.55,0.35,0.35
Box Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.55,0.55,0.75,0.0,0.0,1.0,0.55,0.35,0.35
Pause Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.55,0.55,0.75,0.0,0.0,1.0,0.55,0.35,0.35
Overhead Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.55,0.55,0.75,0.0,0.0,1.0,0.55,0.35,0.35
Zercher Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.55,0.55,0.75,0.0,0.0,1.0,0.55,0.35,0.35
Goblet Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.55,0.55,0.75,0.0,0.0,1.0,0.55,0.35,0.35
Safety Bar Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.55,0.55,0.75,0.0,0.0,1.0,0.55,0.35,0.35
Hack Squat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.2,0.2,0.0,0.0,0.75,0.0,0.0,0.55,0.55,0.75,0.0,0.0,1.0,0.55,0.35,0.35
