Unnamed: 0,Forearms,Biceps,Triceps,Deltoids,Front/Anterior Delt,Rear/Posterior Delt,Side/Lateral Delt,Neck,Traps,Upper Traps,Mid Traps,Lower Traps,Upper Back,Middle Back,Lower Back,Lats,Pectorals,Obliques,Abs,Glutes,Adductors,Abductors,Quads,Hamstrings,Shins,Calves
Back Squat (high-bar),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.192,0.108,0.0,0.0,0.0,0.384,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.128,0.16
Back Squat (low-bar),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.192,0.108,0.0,0.0,0.0,0.384,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.128,0.16
Front Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.192,0.108,0.0,0.0,0.0,0.384,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.128,0.16
Box Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.192,0.108,0.0,0.0,0.0,0.384,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.128,0.16
Pause Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.192,0.108,0.0,0.0,0.0,0.384,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.128,0.16
Overhead Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.192,0.108,0.0,0.0,0.0,0.384,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.128,0.16
Zercher Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.192,0.108,0.0,0.0,0.0,0.384,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.128,0.16
Goblet Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.192,0.108,0.0,0.0,0.0,0.384,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.128,0.16
Safety Bar Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.192,0.108,0.0,0.0,0.0,0.384,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.128,0.16
Hack Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.192,0.108,0.0,0.0,0.0,0.384,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.128,0.16
Conventional Deadlift,0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Sumo Deadlift,0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Romanian Deadlift,0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Stiff-Leg Deadlift,0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Deficit Deadlift,0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Block/Pin Pull Deadlift,0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Rack Pull,0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Trap-Bar Deadlift (high-handle),0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Trap-Bar Deadlift (low-handle),0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Single-Leg Romanian Deadlift,0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Good Morning (barbell),0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Glute-Ham Raise,0.4800000000000001,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.2880000000000001,0.324,0.0,0.3520000000000001,0.32,0.26,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.128
Walking Lunge,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.36,0.0,0.32,0.32,0.0,0.0,0.252,0.224
Reverse Lunge,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.36,0.0,0.32,0.32,0.0,0.0,0.252,0.224
Forward Lunge,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.36,0.0,0.32,0.32,0.0,0.0,0.252,0.224
Bulgarian Split Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.36,0.0,0.32,0.32,0.0,0.0,0.252,0.224
Rear-Foot-Elevated Split Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.36,0.0,0.32,0.32,0.0,0.0,0.252,0.224
"Step-Up (high box, loaded)",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.36,0.0,0.32,0.32,0.0,0.0,0.252,0.224
Single-Leg Squat / Pistol Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.36,0.0,0.32,0.32,0.0,0.0,0.252,0.224
Barbell Hip Thrust,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.224,0.0,0.216,0.0,0.0,0.0,0.0,0.0
Barbell Glute Bridge,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.224,0.0,0.216,0.0,0.0,0.0,0.0,0.0
Single-Leg Hip Thrust,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2880000000000001,0.0,0.0,0.0,0.224,0.0,0.216,0.0,0.0,0.0,0.0,0.0
Flat Barbell Bench Press,0.0,0.0,0.3520000000000001,0,0.2880000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flat Dumbbell Bench Press,0.0,0.0,0.3520000000000001,0,0.2880000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Incline Barbell Bench Press,0.0,0.0,0.3520000000000001,0,0.2880000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Incline Dumbbell Bench Press,0.0,0.0,0.3520000000000001,0,0.2880000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Decline Bench Press,0.0,0.0,0.3520000000000001,0,0.2880000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Close-Grip Bench Press,0.0,0.0,0.3520000000000001,0,0.2880000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Floor Press,0.0,0.0,0.3520000000000001,0,0.2880000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Board Press / Pin Press,0.0,0.0,0.3520000000000001,0,0.2880000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
