Unnamed: 0,Forearms,Biceps,Triceps,Deltoids,Front/Anterior Delt,Rear/Posterior Delt,Side/Lateral Delt,Neck,Traps,Upper Traps,Mid Traps,Lower Traps,Upper Back,Middle Back,Lower Back,Lats,Pectorals,Obliques,Abs,Glutes,Adductors,Abductors,Quads,Hamstrings,Shins,Calves
Back Squat (high-bar),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.15,0.05,0.05,0.0,0.0,0.7,0.0,0.0,0.4,0.4,0.7,0.0,0.0,1.0,0.4,0.15,0.15
Back Squat (low-bar),0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.15,0.05,0.05,0.0,0.0,0.7,0.0,0.0,0.4,0.4,0.7,0.0,0.0,1.0,0.4,0.15,0.15
Front Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.15,0.05,0.05,0.0,0.0,0.7,0.0,0.0,0.4,0.4,0.7,0.0,0.0,1.0,0.4,0.15,0.15
Box Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.15,0.05,0.05,0.0,0.0,0.7,0.0,0.0,0.4,0.4,0.7,0.0,0.0,1.0,0.4,0.15,0.15
Pause Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.15,0.05,0.05,0.0,0.0,0.7,0.0,0.0,0.4,0.4,0.7,0.0,0.0,1.0,0.4,0.15,0.15
Overhead Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.15,0.05,0.05,0.0,0.0,0.7,0.0,0.0,0.4,0.4,0.7,0.0,0.0,1.0,0.4,0.15,0.15
Zercher Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.15,0.05,0.05,0.0,0.0,0.7,0.0,0.0,0.4,0.4,0.7,0.0,0.0,1.0,0.4,0.15,0.15
Goblet Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.15,0.05,0.05,0.0,0.0,0.7,0.0,0.0,0.4,0.4,0.7,0.0,0.0,1.0,0.4,0.15,0.15
Safety Bar Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.15,0.05,0.05,0.0,0.0,0.7,0.0,0.0,0.4,0.4,0.7,0.0,0.0,1.0,0.4,0.15,0.15
Hack Squat,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.15,0.05,0.05,0.0,0.0,0.7,0.0,0.0,0.4,0.4,0.7,0.0,0.0,1.0,0.4,0.15,0.15
Conventional Deadlift,0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
Sumo Deadlift,0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
Romanian Deadlift,0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
Stiff-Leg Deadlift,0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
Deficit Deadlift,0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
Block/Pin Pull Deadlift,0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
Rack Pull,0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
Trap-Bar Deadlift (high-handle),0.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.7,0.4,0.15,0.7,0.7,1.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.15
